key_words,target_line1,target_line2,target_line3,target_line4,base_line1,base_line2,base_line3,base_line4,target_language,base,image_name
gloves rabbit colorful,"Der Handschuh liegt im bunten Schein,","Ein Hase hüpft im Farbenspiel hinein,","Der Regenbogen strahlt so bunt und fein,","Die Welt ist voller Wunder, groß und klein.","The glove lies in the colorful shine,","A rabbit hops into the play of colors,","The rainbow glows so vibrant and fine,","The world is full of wonders, big and small.",German,English,gloves-rabbit-colorful.jpg
busy bat clean,"Eine Fledermaus so fleißig ist,","Sie fliegt durch die Nacht, ganz ohne List.","Reinigt die Lüfte, geschwind und klar,","In der Dunkelheit, da ist sie ein Star.","A bat is so diligent,","It flies through the night, without a trick.","Cleansing the air, swift and clear,","In the darkness, it is a star here.",German,English,busy-bat-clean.jpg
house kitchen time,"Im Haus da tickt die stille Uhr,","In der Küche zieht die Zeit ihre Spur,","Während wir kochen und träumen so sacht,",Verliert die Hektik an Macht und Pracht.,"In the house, the silent clock ticks,","In the kitchen, time leaves its tricks,","While we cook and dream so gently,",The hustle and bustle lose their plenty.,German,English,house-kitchen-time.jpg
boots mustard thick,"Die Stiefel treten im dicken Sand,",Wie Senf auf die Zunge brennt.,"Mit jedem Schritt, fest in der Hand,","Halt' ich die Freiheit, die uns trennt.","The boots tread in the thick sand,",Like mustard burning on the tongue.,"With every step, firm in hand,",I hold the freedom that separates us.,German,English,boots-mustard-thick.jpg
goat crocodile scarf,"Eine Ziege fraß das Gras im Kreis,",Neben ihr ein Krokodil ganz leis'.,"Es trug einen Schal, der war recht rar,",Doch zieht man hier nicht gern an einem Star.,"A goat grazed grass in a circle,","Next to her, a crocodile so quiet.","It wore a scarf, which was quite rare,","But here, one does not like to pull on a star.",German,English,goat-crocodile-scarf.jpg
building purple glass,"Ein Gebäude aus Glas, so klar und kühl,","In violetter Pracht, wie ein königlicher Stuhl.","Es spiegelt die Farben der Stadt bei Nacht,","Ein Funken von Magie, vom Mond bewacht.","A building of glass, so clear and cool,","In violet splendor, like a royal stool.","It reflects the colors of the city at night,","A spark of magic, watched by the moonlight.",German,English,building-purple-glass.jpg
study sugar light,"Im Licht der Lampe, süß wie Zucker,","Studiert er spät, kein Zeitverzucker.","Der Schreibtisch voll, die Bücher schwer,",Doch lernt er fleißig immer mehr.,"In the light of the lamp, sweet as sugar,","He studies late, no time to linger.","The desk is full, the books are heavy,","Yet he diligently learns, ever ready.",German,English,study-sugar-light.jpg
month man sauce,"Der Mann im Monat sitzt ganz groß,","Er liebt die Würze, seine Soß'.","Jeden Tag ein neues Schmankerl,",Mit der Schöpfkelle immer wandelbar.,"The man in the moon sits up high,","He loves the spice, his sauce awry.","Every day a new delicacy,","With the ladle ever versatile, you see.",German,English,month-man-sauce.jpg
hat country otter,"Ein Otter trägt seinen Hut mit Stolz,","Im Fluss, dem Land hier zugehörig,","Er schwimmt herum, das Wasser sein Holz,","Sein Lächeln freundlich, unerhört fröhlich.","An otter wears his hat with pride,","In the river, belonging to the land,","He swims around, the water his wood,","His smile friendly, unbelievably joyful.",German,English,hat-country-otter.jpg
beaver sheep question,"Ein Biber fragt das Schaf ganz sacht,",Warum er nachts so selten wacht.,"Das Schaf mit einem Lächeln spricht,",„Ich träume lieber manches Licht.“,"A beaver gently asks the sheep,",Why he rarely wakes at night from sleep.,"The sheep replies with a smile so bright,","""I prefer to dream of some light.""",German,English,beaver-sheep-question.jpg
bike goose cook,"Ein Fahrrad rollt im Sonnenschein,",Eine Gans schnattert dort am Teich.,"In der Küche brutzelt schon der Wein,",Zum Kochen fühl ich mich heut reich.,"A bicycle rolls in the sunshine,",A goose is honking by the pond.,"In the kitchen, the wine is already sizzling,",Today I feel rich for cooking.,German,English,bike-goose-cook.jpg
backpack socks salt,Im Rucksack trage ich Socken und Salz,Für Abenteuer fern von Asphalt und Schmalz.,"Die Wege sind steinig, doch voller Reiz,",Mit Salz auf der Zunge wird alles heiß.,"In my backpack, I carry socks and salt,",For adventures far from asphalt and schmaltz.,"The paths are rocky, yet full of charm,","With salt on the tongue, everything is warm.",German,English,backpack-socks-salt.jpg
sleep silver gold,"Der Schlaf ist sanft im Silberschein,",Die Träume weben Gold so fein.,"In der Nacht, da ruht die Welt,",Wo Silberlicht die Dunkelheit erhellt.,"Sleep is gentle in the silver glow,","Dreams weave gold so fine, you know.","In the night, the world finds rest,",Where silver light brightens the darkness best.,German,English,sleep-silver-gold.jpg
boots mustard thick,Botas amarillas de mostaza,"caminan por tierra extensa y rasa,","giran bajo nubes de tono espeso,",mientras el viento sopla travieso.,Boots yellow of mustard,walk they through land extensive and flat,they turn under clouds of tone thick,while the wind blows mischievous,Spanish,English,boots-mustard-thick.jpg
goat crocodile  scarf,"Sobre el césped, la cabra danza,","baile con bufanda en el amanecer,","un cocodrilo observa en remembranza,",bajo sombras de un atardecer.,"On the grass, the goat dances,","dance with scarf in the dawn,","a crocodile observes in remembrance,",under shadows of a sunset.,Spanish,English,goat-crocodile-scarf.jpg
building purple glass,"En el edificio de cristal anidado,","un reflejo morado se ha posado,","luz del amanecer, brillante y espesa,",como un sueño en su bosque de belleza.,"In the building of glass nestled,","a reflection purple has settled,","light of the dawn, bright and thick,",like a dream in its forest of beauty.,Spanish,English,building-purple-glass.jpg
swan hand,"El cisne flota en el lago,","con gracia mueve su ala,","como la mano de un mago,",que en el aire nunca se cala.,"The swan floats on the lake,","with grace moves its wing,","like the hand of a magician,",that in the air never pauses.,Spanish,English,swan-lake.jpg
study sugar light,"En el rincón oscuro del estudio, la luz",endulza como azúcar el espacio y su paz.,"Los libros reposan, un saber en cruz,",y el día se disuelve como un dulce al pasar.,"In the dark corner of the study, the light",sweetens like sugar the space and its peace.,"The books rest, a knowledge in cross,",and the day itself dissolves like a candy upon passing.,Spanish,English,study-sugar-light.jpg
month man sauce,"En el mes de abril brilla un fulgor,","un hombre sabio con dulce sazón,","salsa en su alma, ritmo en el son,",danza la vida con todo su amor.,"In the month of April shines a gleam,","a man wise with sweet seasoning,","sauce in his soul, rhythm in the sound,",dances the life with all his love.,Spanish,English,month-man-sauce.jpg
cat breakfast pencil,"El gato afila un lápiz en su denso pelaje,","mientras desayuno devora, con dulce coraje.","El lápiz escribe sueños en el aire flotante,","mientras el día comienza, sereno y brillante.","The cat sharpens a pencil in its dense fur,","while breakfast devours, with sweet courage.","The pencil writes dreams in the floating air,","while the day begins, serene and bright.",Spanish,English,cat-breakfast-pencil.jpg
hat country otter,"En el país de los sueños sin fin,","donde el sombrero juega con el viento,","un castor observa con contento,",el río que fluye con suave jardín.,"In the country of the dreams without end,","where the hat plays with the wind,","a beaver observes with happiness,",the river that flows with soft garden.,Spanish,English,hat-country-otter.jpg
beaver sheep question,"El castor construye una presa,","la oveja en el campo bosteza,","una pregunta en el aire vuela,",¿cuál es su sueño mientras reposa?,"The beaver builds a dam,","the sheep in the field yawns,","a question in the air flies,",what is its dream while it rests?,Spanish,English,beaver-sheep-question.jpg
backpack socks salt,"En la mochila llevo sueños de cristal,","los calcetines de aventuras al azar,","en mares de sal, buscamos sin cesar,","un destino lejano, un abrazo sin igual.","In the backpack I carry dreams of crystal,","the socks of adventures to the random,","in seas of salt, we search without cease,","a destiny distant, a hug without equal.",Spanish,English,backpack-socks-salt.jpg
sleep silver gold,"En sueños de plata me envuelvo,",donde todo es oro brillante.,"La noche, en su manto de encanto,",me lleva a un mundo flotante.,"In dreams of silver myself I wrap,",where all is gold shining.,"The night, in its cloak of enchantment,",me carries to a world  floating.,Spanish,English,sleep-silver-gold.jpg
coffee wolf thin,"El café en la taza, aroma que embriaga,",un lobo aúlla bajo la luz que halaga.,"Sus sombras delgadas en la noche danzan,","en el silencio, susurros que se avanzan.","The coffee in the cup, aroma that intoxicates,",a wolf howls under the light that flatters.,"Its thin shadows in the night they dance,","in the silence, whispers that advance.",Spanish,English,coffee-wolf-thin.jpg
gloves rabbit colorful,"Un conejo con guantes de seda,","salta alegre bajo el sol radiante,","su pelaje es un arcoíris brillante,",pinta el campo con su danza empleada.,"A rabbit with gloves of silk,","jumps joyful under the sun radiant,","its fur is a rainbow shiny,",paints the field with its dance employed.,Spanish,English,gloves-rabbit-colorful.jpg
